"X" "analfabeta" "sin_primaria" "sin_drenaje" "sin_electricidad" "sin_agua_entubada" "con_hacinamiento" "con_piso_tierra" "habitantes_5000" "salarios_minimos" "CVE_MUN" "NOM_MUN" "CVE"
"1982" "005 Burgos" 7.1 44.17 2.42 5.72 21.63 29.28 4.05 100 59.39 5 "Burgos" "28005"
"1983" "006 Bustamante" 19.48 46.32 7.46 4.76 43.96 49.74 7.74 100 85.02 6 "Bustamante" "28006"
"1984" "007 Camargo" 5.69 26.55 0.83 1.05 0.82 30.33 1.53 46.53 30.96 7 "Camargo" "28007"
"1985" "008 Casas" 9.5 38.36 3.47 8.68 37.33 47.64 7.19 100 68.22 8 "Casas" "28008"
"1986" "009 Ciudad Madero" 1.86 8.44 0.18 0.91 0.29 25.04 2.28 0 31.03 9 "Ciudad Madero" "28009"
"1987" "010 Cruillas" 10.1 37.17 2.84 7.41 7.31 36.54 3.28 100 55.26 10 "Cruillas" "28010"
"1988" "011 Gómez Farías" 11.67 31.12 2.05 2.74 6.97 42.54 5.88 100 73.36 11 "Gómez Farías" "28011"
"1989" "012 González" 9.49 34.01 1.09 2.79 4.81 45.54 6.85 46.38 55.9 12 "González" "28012"
"1990" "013 Güémez" 7.27 31.43 7.06 2.12 12.34 46.25 8.24 100 70.98 13 "Güémez" "28013"
"1991" "014 Guerrero" 4.11 22.82 0.95 0.68 1.66 20.92 1.41 100 32.73 14 "Guerrero" "28014"
"1992" "015 Gustavo Díaz Ordaz" 5.36 24.4 1.95 1.95 2.72 28.14 2.16 26.95 38.17 15 "Gustavo Díaz Ordaz" "28015"
"1993" "016 Hidalgo" 6.28 31.52 2.17 1.94 7.38 40.88 8.82 72.24 63.59 16 "Hidalgo" "28016"
"1994" "017 Jaumave" 8.8 32.81 3.63 4.08 3.53 44.69 6.69 62.71 61.65 17 "Jaumave" "28017"
"1995" "018 Jiménez" 6.07 26.75 1.24 1.89 1.43 40.97 2.3 33.99 46.76 18 "Jiménez" "28018"
"1996" "019 Llera" 9.7 36.53 2.06 5.31 10.19 39.08 8.22 100 63.93 19 "Llera" "28019"
"1997" "020 Mainero" 6.48 32.88 3.92 11.3 9.11 34.14 5.51 100 71.62 20 "Mainero" "28020"
"1998" "021 El Mante" 5.87 20.28 0.68 0.68 0.85 34.75 4.73 26.78 46.68 21 "El Mante" "28021"
"1999" "022 Matamoros" 3.08 14.25 0.41 2.05 4.03 36 3.01 8.05 31.41 22 "Matamoros" "28022"
"2000" "023 Méndez" 7.93 43.92 2.32 8.13 31.08 33.36 4.07 100 51.66 23 "Méndez" "28023"
"2001" "024 Mier" 4.3 19.18 0.23 0.02 0 24.12 0.85 100 21.34 24 "Mier" "28024"
"2002" "025 Miguel Alemán" 3.29 17.11 0.51 0.76 0.61 24.95 1 25.98 27.5 25 "Miguel Alemán" "28025"
"2003" "026 Miquihuana" 16.89 43.81 3.56 9.91 27.27 46.28 9.01 100 84 26 "Miquihuana" "28026"
"2004" "027 Nuevo Laredo" 2.81 13.34 0.2 1.14 1.09 36.89 2.37 0.87 31.8 27 "Nuevo Laredo" "28027"
"2005" "028 Nuevo Morelos" 9.32 30.23 3.02 2.87 8.09 41.98 8.26 100 73.08 28 "Nuevo Morelos" "28028"
"2006" "029 Ocampo" 8.7 35.56 2.18 4.01 8.75 40.05 10.27 60.69 58.41 29 "Ocampo" "28029"
"2007" "030 Padilla" 6.82 27.53 0.6 1.18 1.72 40.3 5.63 60.65 58.73 30 "Padilla" "28030"
"2008" "031 Palmillas" 9.09 39.94 3.98 6.02 7.18 34.53 2.35 100 65.84 31 "Palmillas" "28031"
"2009" "032 Reynosa" 2.58 12.2 0.34 0.9 1.97 37.15 2.86 3.19 29.42 32 "Reynosa" "28032"
"2010" "033 Río Bravo" 4.81 20.13 0.55 2.26 4.74 39.15 3.14 10.51 36.87 33 "Río Bravo" "28033"
"2011" "034 San Carlos" 6.1 40.17 5.7 10.75 16.23 42.11 8.88 100 79.84 34 "San Carlos" "28034"
"2012" "035 San Fernando" 6.53 28.17 1.18 2.89 4.19 42.64 4.94 48.16 48.09 35 "San Fernando" "28035"
"2013" "036 San Nicolás" 7.59 38.73 7.61 21.12 63.9 56.55 7.61 100 83.62 36 "San Nicolás" "28036"
"2014" "037 Soto la Marina" 8.49 34.23 1.83 7.06 14.67 43.13 4.14 57.12 51.08 37 "Soto la Marina" "28037"
"2015" "038 Tampico" 2.08 9.74 0.15 0.23 0.21 26.75 1.09 0.09 25.9 38 "Tampico" "28038"
"2016" "039 Tula" 11.93 38.59 1.52 5.22 22.08 45.32 8.61 63.58 73.44 39 "Tula" "28039"
"2017" "040 Valle Hermoso" 4.35 20.5 1.18 1.93 4.1 35.24 2.07 22.56 46.16 40 "Valle Hermoso" "28040"
"2018" "041 Victoria" 2.48 12.22 0.54 1.34 1.48 32.5 4.6 5.22 27.09 41 "Victoria" "28041"
"2019" "042 Villagrán" 6.17 38.85 3.93 5.8 7.78 38.38 6.79 100 67.7 42 "Villagrán" "28042"
"2020" "043 Xicoténcatl" 7.87 24.28 1.56 2.28 5.5 37.11 4.7 58.04 54.16 43 "Xicoténcatl" "28043"
"2021" "001 Amaxac de Guerrero" 2.69 10.08 2 0.97 0.4 40.83 1.99 7.71 50.74 1 "Amaxac de Guerrero" "29001"
"2022" "002 Apetatitlán de Antonio Carvajal" 2.36 9.26 1.51 0.43 0.48 32 1.94 100 44.48 2 "Apetatitlán de Antonio Carvajal" "29002"
"2023" "003 Atlangatepec" 8.96 25.39 8.79 2.58 0.67 48.33 4.98 100 68.33 3 "Atlangatepec" "29003"
"2024" "004 Atltzayanca" 8.71 27.88 8.74 2 2.23 58.37 4.39 100 75.98 4 "Atltzayanca" "29004"
"2025" "005 Apizaco" 2.83 9.51 0.57 0.3 0.32 28.83 1.1 9.71 42.83 5 "Apizaco" "29005"
"2026" "006 Calpulalpan" 4.7 14.84 1.01 0.97 1.13 44.03 3.68 25.76 54.5 6 "Calpulalpan" "29006"
"2027" "007 El Carmen Tequexquitla" 14 30.22 11.33 2.24 1.9 56.43 3.51 7.28 61.68 7 "El Carmen Tequexquitla" "29007"
"2028" "008 Cuapiaxtla" 8.17 25.11 2.97 1.09 0.81 54.49 1.96 38.57 61.36 8 "Cuapiaxtla" "29008"
"2029" "009 Cuaxomulco" 4.65 15.06 6.1 1.74 0.38 45.63 2.88 100 61.7 9 "Cuaxomulco" "29009"
"2030" "010 Chiautempan" 2.95 10.93 1.68 0.47 0.44 40.4 2.83 27.39 60.03 10 "Chiautempan" "29010"
"2031" "011 Muñoz de Domingo Arenas" 4.88 18.09 1.56 2.94 2.24 44.03 1.91 100 62.3 11 "Muñoz de Domingo Arenas" "29011"
"2032" "012 Españita" 7.83 25.12 4.58 1.61 1.22 51.26 7.68 100 74.05 12 "Españita" "29012"
"2033" "013 Huamantla" 6.56 19.09 1.92 1.05 0.9 51.88 2.68 23.9 59.89 13 "Huamantla" "29013"
"2034" "014 Hueyotlipan" 7.55 22.19 4.15 1.44 0.74 47.78 3.44 100 64.51 14 "Hueyotlipan" "29014"
"2035" "015 Ixtacuixtla de Mariano Matamoros" 4.39 15.36 1.86 0.68 3.99 40.56 3.82 81.44 56.5 15 "Ixtacuixtla de Mariano Matamoros" "29015"
"2036" "016 Ixtenco" 7.86 20.47 0.52 0.46 1.19 46.53 4.9 0.74 63.47 16 "Ixtenco" "29016"
"2037" "017 Mazatecochco de José María Morelos" 7.54 19.29 0.69 0.32 0.3 50.17 9.67 0.71 54.1 17 "Mazatecochco de José María Morelos" "29017"
"2038" "018 Contla de Juan Cuamatzi" 5.92 15.84 5.01 0.66 0.13 53.8 6.07 21.3 62.95 18 "Contla de Juan Cuamatzi" "29018"
"2039" "019 Tepetitla de Lardizábal" 2.88 12.64 1 0.78 1.38 43.08 6.3 23.68 51.44 19 "Tepetitla de Lardizábal" "29019"
"2040" "020 Sanctórum de Lázaro Cárdenas" 7.29 19.16 1.95 0.85 1.4 50.35 5.86 100 55.39 20 "Sanctórum de Lázaro Cárdenas" "29020"
"2041" "021 Nanacamilpa de Mariano Arista" 6.6 19.26 0.81 0.66 0.44 43.47 3 26.82 62.83 21 "Nanacamilpa de Mariano Arista" "29021"
"2042" "022 Acuamanala de Miguel Hidalgo" 4.36 14.58 1.08 0.25 0 49.96 2.64 100 63.52 22 "Acuamanala de Miguel Hidalgo" "29022"
"2043" "023 Natívitas" 4.69 16.06 3.15 1.04 4.28 47.54 5.74 100 56.45 23 "Natívitas" "29023"
"2044" "024 Panotla" 4.44 12.57 3.81 0.94 2.68 35.54 5.49 70.73 48.34 24 "Panotla" "29024"
"2045" "025 San Pablo del Monte" 9.85 21.95 3.12 1.37 3.08 58.6 6.12 1.21 41.74 25 "San Pablo del Monte" "29025"
"2046" "026 Santa Cruz Tlaxcala" 3.95 13.28 4.62 1.02 0.36 43.39 2.6 67.94 52.06 26 "Santa Cruz Tlaxcala" "29026"
"2047" "027 Tenancingo" 9.83 24.26 1.48 0.67 0.73 43.07 6.9 1.08 52.93 27 "Tenancingo" "29027"
"2048" "028 Teolocholco" 5.73 15.46 3.35 1.17 0.25 49.97 5.9 25.06 53.36 28 "Teolocholco" "29028"
"2049" "029 Tepeyanco" 2.98 12.51 1.4 1 3.27 42.16 5.56 100 51.86 29 "Tepeyanco" "29029"
"2050" "030 Terrenate" 10.8 27.86 4.4 2.83 1.69 57.86 5.11 100 70.38 30 "Terrenate" "29030"
"2051" "031 Tetla de la Solidaridad" 5.22 15.2 4.49 1.44 1.14 38.61 2.62 29.6 50.84 31 "Tetla de la Solidaridad" "29031"
"2052" "032 Tetlatlahuca" 2.94 13.74 2.73 1.58 2.4 41.97 4.5 100 54.01 32 "Tetlatlahuca" "29032"
"2053" "033 Tlaxcala" 1.84 6.57 0.55 0.47 0.56 24.74 1.7 16.78 34.14 33 "Tlaxcala" "29033"
"2054" "034 Tlaxco" 8.78 23.44 6.06 1.16 1.2 50.68 4.53 62.93 73.09 34 "Tlaxco" "29034"
"2055" "035 Tocatlán" 4.66 16.38 2.76 1.39 0 44.57 1.84 0.45 56.36 35 "Tocatlán" "29035"
"2056" "036 Totolac" 2.69 9.73 0.62 0.48 1.68 33.53 2.42 66.11 38.79 36 "Totolac" "29036"
"2057" "037 Ziltlaltépec de Trinidad Sánchez Santos" 13.39 33.47 4.12 1.74 12.09 58.19 4.74 23.64 78.16 37 "Ziltlaltépec de Trinidad Sánchez Santos" "29037"
"2058" "038 Tzompantepec" 3.84 11.67 5.06 1.99 11.46 39.06 3.07 30.78 54.06 38 "Tzompantepec" "29038"
"2059" "039 Xaloztoc" 5.02 15.99 4.68 1.74 0.44 51.32 4.47 53.19 58.72 39 "Xaloztoc" "29039"
"2060" "040 Xaltocan" 5.42 19.77 7.74 1.65 0.45 44.69 5.23 100 59.31 40 "Xaltocan" "29040"
"2061" "041 Papalotla de Xicohténcatl" 4.52 12.83 1.46 0.8 0.75 42.83 4.01 14.92 46.95 41 "Papalotla de Xicohténcatl" "29041"
"2062" "042 Xicohtzinco" 2.52 10.91 0.84 0.95 2.66 35.82 3.62 0 42.69 42 "Xicohtzinco" "29042"
"2063" "043 Yauhquemehcan" 3.2 10.07 1.58 0.71 0.5 32.31 1.9 43.69 39.33 43 "Yauhquemehcan" "29043"
"2064" "044 Zacatelco" 3.73 13.18 1.31 0.73 1.33 42.44 3.97 0.49 51.73 44 "Zacatelco" "29044"
"2065" "045 Benito Juárez" 7.5 19 0.25 0.46 0 50.19 2.01 0.23 48.43 45 "Benito Juárez" "29045"
"2066" "046 Emiliano Zapata" 9.59 26.38 1.89 0.39 0.56 62.11 3.07 100 82.44 46 "Emiliano Zapata" "29046"
"2067" "047 Lázaro Cárdenas" 6.93 21.02 3.43 0.51 0.04 54.19 1.34 100 76.51 47 "Lázaro Cárdenas" "29047"
"2068" "048 La Magdalena Tlaltelulco" 5.12 16.33 4.92 1.51 0.77 55.24 4.08 0 54.07 48 "La Magdalena Tlaltelulco" "29048"
"2069" "049 San Damián Texóloc" 3.32 18.49 1.82 0.91 0.61 33.03 2.81 0.61 47.21 49 "San Damián Texóloc" "29049"
"2070" "050 San Francisco Tetlanohcan" 6.41 16.89 3.48 1 0.2 48.84 6.85 0.22 61.73 50 "San Francisco Tetlanohcan" "29050"
"2071" "051 San Jerónimo Zacualpan" 4.63 12.86 3.01 2.06 4.86 31.72 3.85 100 50.85 51 "San Jerónimo Zacualpan" "29051"
"2072" "052 San José Teacalco" 9.06 24.88 10.71 1.7 0.04 55.98 2.58 4.93 65.84 52 "San José Teacalco" "29052"
"2073" "053 San Juan Huactzinco" 4 13.91 2.54 2.43 6.61 48.31 4.41 1.96 48.91 53 "San Juan Huactzinco" "29053"
"2074" "054 San Lorenzo Axocomanitla" 3.07 13.51 0.82 0.54 0.44 39.49 0.79 0.75 54.37 54 "San Lorenzo Axocomanitla" "29054"
"2075" "055 San Lucas Tecopilco" 7.66 19.31 4.56 1.31 1.06 36.64 3.33 100 65.49 55 "San Lucas Tecopilco" "29055"
"2076" "056 Santa Ana Nopalucan" 4.78 14.86 3.41 1.87 5.85 45.61 7.01 0.13 52.41 56 "Santa Ana Nopalucan" "29056"
"2077" "057 Santa Apolonia Teacalco" 4.4 15.91 2.98 1.07 0.72 39.04 3.98 100 63.97 57 "Santa Apolonia Teacalco" "29057"
"2078" "058 Santa Catarina Ayometla" 7.28 19.37 2.86 1.57 0.43 43.08 5.91 0 60.22 58 "Santa Catarina Ayometla" "29058"
"2079" "059 Santa Cruz Quilehtla" 4.74 17.05 1.63 1.13 0.24 47.99 5.08 100 62.37 59 "Santa Cruz Quilehtla" "29059"
"2080" "060 Santa Isabel Xiloxoxtla" 4.56 14.95 2.66 2.24 5.07 49.33 4.74 100 57.5 60 "Santa Isabel Xiloxoxtla" "29060"
"2081" "001 Acajete" 16.52 38.92 2.64 3.52 4.52 52.46 12.55 100 59.69 1 "Acajete" "30001"
"2082" "002 Acatlán" 10.72 35.51 0.03 0.39 0.62 50.14 0.78 100 78.17 2 "Acatlán" "30002"
"2083" "003 Acayucan" 13.73 30.75 3.34 3.44 19.64 42.61 12.32 39.23 59.58 3 "Acayucan" "30003"
"2084" "004 Actopan" 14.92 40.8 1.73 0.69 2.91 28.5 4.31 100 59.55 4 "Actopan" "30004"
"2085" "005 Acula" 19.83 42.72 7.88 2.02 28.8 35.44 7.92 100 59.94 5 "Acula" "30005"
"2086" "006 Acultzingo" 14.39 36.52 4.63 5.6 27.9 58.95 33.68 66.43 64.88 6 "Acultzingo" "30006"
"2087" "007 Camarón de Tejeda" 11.64 47.15 19.08 3.35 10.7 40.51 14.52 100 77.18 7 "Camarón de Tejeda" "30007"
"2088" "008 Alpatláhuac" 25.86 50.74 1.31 5.22 24.74 54.66 3.51 100 81.6 8 "Alpatláhuac" "30008"
"2089" "009 Alto Lucero de Gutiérrez Barrios" 18.61 45.32 1.45 0.71 4.67 33.33 4.09 100 55.95 9 "Alto Lucero de Gutiérrez Barrios" "30009"
"2090" "010 Altotonga" 18.18 43.88 1.91 3.24 28.06 59.57 20.16 67.35 76.56 10 "Altotonga" "30010"
"2091" "011 Alvarado" 10.75 28.82 3.79 2.7 23.28 32.16 4.99 43.93 52.32 11 "Alvarado" "30011"
"2092" "012 Amatitlán" 16.5 41.2 10.25 1.42 57.59 29.45 4.51 100 52.96 12 "Amatitlán" "30012"
"2093" "013 Naranjos Amatlán" 6.16 21.3 0.52 2.18 12.1 33.17 6.83 27.13 41.51 13 "Naranjos Amatlán" "30013"
"2094" "014 Amatlán de los Reyes" 9.38 30.75 3.86 2.04 25.89 41.33 13.78 65.59 58.94 14 "Amatlán de los Reyes" "30014"
"2095" "015 Angel R. Cabada" 19.76 43.4 6.26 5.44 11.64 33.84 9.94 64.11 62.57 15 "Angel R. Cabada" "30015"
"2096" "016 La Antigua" 5.77 24.42 1.63 0.52 1.36 33.59 5.27 25.13 52.24 16 "La Antigua" "30016"
"2097" "017 Apazapan" 9.48 34.82 4.79 1.22 11.95 30.06 8.15 100 57.5 17 "Apazapan" "30017"
"2098" "018 Aquila" 29.53 55.17 16.47 4.12 31 61.96 11.46 100 91.62 18 "Aquila" "30018"
"2099" "019 Astacinga" 39.06 58.65 1.12 2.33 26.86 59.56 31.61 100 78.28 19 "Astacinga" "30019"
"2100" "020 Atlahuilco" 39.12 58.91 2.86 1.57 41.18 64.89 26.53 100 86.86 20 "Atlahuilco" "30020"
"2101" "021 Atoyac" 8.58 28.85 3.23 1.63 20.23 40.51 10.94 37.84 63.56 21 "Atoyac" "30021"
"2102" "022 Atzacan" 19.5 38.51 4.6 4.06 7.59 61.19 25.92 55.41 68.83 22 "Atzacan" "30022"
"2103" "023 Atzalan" 20.5 48.18 3.54 5.36 15.46 55.29 4.79 100 81.11 23 "Atzalan" "30023"
"2104" "024 Tlaltetela" 19.58 50.44 9.31 4.94 4.38 53.1 23.94 100 82.34 24 "Tlaltetela" "30024"
"2105" "025 Ayahualulco" 35.56 61.82 2.64 2.88 1.83 67.93 6.6 100 84.23 25 "Ayahualulco" "30025"
"2106" "026 Banderilla" 6.34 18.9 0.44 0.38 1.93 38.68 1.22 8.8 39.48 26 "Banderilla" "30026"
"2107" "027 Benito Juárez" 25.12 43.33 1.51 8.83 33.56 42.23 5.58 100 81.08 27 "Benito Juárez" "30027"
"2108" "028 Boca del Río" 3.3 13.39 0.13 0.15 1.34 26.81 2.27 1.16 26.8 28 "Boca del Río" "30028"
"2109" "029 Calcahualco" 30.83 56.61 1.45 5.63 21.75 66.83 12.46 100 85.79 29 "Calcahualco" "30029"
"2110" "030 Camerino Z. Mendoza" 10.56 21.51 0.42 0.77 12.25 40.1 17 14.69 50.74 30 "Camerino Z. Mendoza" "30030"
"2111" "031 Carrillo Puerto" 20.05 48.65 27.7 3.37 8.77 46.65 4.3 100 76.39 31 "Carrillo Puerto" "30031"
"2112" "032 Catemaco" 17.06 37.11 1.68 3.35 5.78 39.89 17.49 43.17 68.37 32 "Catemaco" "30032"
"2113" "033 Cazones de Herrera" 15.09 36.6 2.01 3.35 42.2 44.13 24.31 100 67.37 33 "Cazones de Herrera" "30033"
"2114" "034 Cerro Azul" 6.06 18.82 0.91 0.61 1.58 33.27 10.18 13.69 42.63 34 "Cerro Azul" "30034"
"2115" "035 Citlaltépetl" 19.58 39.85 7.98 6.53 7.86 40.91 42.37 54.83 81.25 35 "Citlaltépetl" "30035"
"2116" "036 Coacoatzintla" 19.05 40.08 1.22 5.6 4.31 56.87 9.21 27.44 58.25 36 "Coacoatzintla" "30036"
"2117" "037 Coahuitlán" 30.23 54.22 3.71 5.76 7.5 66.43 4.96 100 77.78 37 "Coahuitlán" "30037"
"2118" "038 Coatepec" 7.48 22.94 0.6 1.01 1.76 35.86 6.08 29.47 43.97 38 "Coatepec" "30038"
"2119" "039 Coatzacoalcos" 4.77 15.72 0.44 0.75 5.55 34.23 2.77 4.01 35.21 39 "Coatzacoalcos" "30039"
"2120" "040 Coatzintla" 6.96 19.35 0.43 2.04 9.81 37.68 16.01 29.61 29.88 40 "Coatzintla" "30040"
"2121" "041 Coetzala" 19.48 45.26 5.49 3.5 9.62 54.87 18.54 100 74.24 41 "Coetzala" "30041"
"2122" "042 Colipa" 18.91 44.06 13.02 5.09 28.5 40.97 3.4 100 75.47 42 "Colipa" "30042"
"2123" "043 Comapa" 19.9 51.06 14.81 3.29 25.05 49.14 4.04 100 81 43 "Comapa" "30043"
"2124" "044 Córdoba" 5.33 18.24 0.55 0.7 8.68 36.42 5.14 18.55 36.79 44 "Córdoba" "30044"
"2125" "045 Cosamaloapan de Carpio" 10.85 28.15 4.42 1.17 12.62 31.24 4.85 46.7 49.36 45 "Cosamaloapan de Carpio" "30045"
"2126" "046 Cosautlán de Carvajal" 17.41 49.68 6.14 3.87 0.7 53.81 16.54 100 71.45 46 "Cosautlán de Carvajal" "30046"
"2127" "047 Coscomatepec" 26.2 50.85 2.36 3.69 12.67 61.42 32.42 57.3 69.16 47 "Coscomatepec" "30047"
"2128" "048 Cosoleacaque" 7.49 20.26 0.96 1.38 23.88 41.11 4.42 28.31 36 48 "Cosoleacaque" "30048"
"2129" "049 Cotaxtla" 15.88 41.23 11.61 1.83 12.35 41.63 13.4 100 54.55 49 "Cotaxtla" "30049"
"2130" "050 Coxquihui" 28.17 44.39 9.18 10.15 58.42 55.83 15.62 100 81.11 50 "Coxquihui" "30050"
"2131" "051 Coyutla" 29.78 45.87 3.17 3.8 25.73 53.26 10.27 61.45 77.1 51 "Coyutla" "30051"
"2132" "052 Cuichapa" 11.82 32.69 7.74 2.92 3.13 43.34 21.79 100 68.37 52 "Cuichapa" "30052"
"2133" "053 Cuitláhuac" 10.42 30.95 3.34 1.92 26.28 37.06 5.65 48.03 58.21 53 "Cuitláhuac" "30053"
"2134" "054 Chacaltianguis" 13.84 39.36 5.12 1.96 17.6 29.15 4.3 100 65.48 54 "Chacaltianguis" "30054"
"2135" "055 Chalma" 22.54 39.58 1.74 4.72 41.92 37.8 27.35 100 56.71 55 "Chalma" "30055"
"2136" "056 Chiconamel" 32.46 48.8 4.63 4.86 62.3 45.89 9.11 100 76.3 56 "Chiconamel" "30056"
"2137" "057 Chiconquiaco" 24.22 53.02 3.29 5.23 19.47 60.32 4.62 100 87.19 57 "Chiconquiaco" "30057"
"2138" "058 Chicontepec" 16.58 36 0.56 4.08 36.88 37.04 39.41 100 70.42 58 "Chicontepec" "30058"
"2139" "059 Chinameca" 12.1 31.89 5.3 3.42 23.76 40.87 9.68 50.39 49.88 59 "Chinameca" "30059"
"2140" "060 Chinampa de Gorostiza" 15.23 34.67 1.03 5.38 24.94 49.91 26.91 65.22 70.01 60 "Chinampa de Gorostiza" "30060"
"2141" "061 Las Choapas" 14.96 40.48 9 13.8 51.69 48.87 22.53 44.86 68.81 61 "Las Choapas" "30061"
"2142" "062 Chocamán" 18.07 44.71 2.13 2.9 8.76 54.68 18.3 42.33 66.04 62 "Chocamán" "30062"
"2143" "063 Chontla" 17.97 40.95 2.34 6.8 9 39.35 50.98 100 76.36 63 "Chontla" "30063"
"2144" "064 Chumatlán" 32.11 44.65 2.4 6.69 26.92 58.9 7.82 100 85.34 64 "Chumatlán" "30064"
"2145" "065 Emiliano Zapata" 5.85 24.88 2.21 1.48 1.25 33.11 5.2 73.23 32.66 65 "Emiliano Zapata" "30065"
"2146" "066 Espinal" 20.32 39.06 2.64 4.97 47.53 43.62 3.89 100 74.13 66 "Espinal" "30066"
"2147" "067 Filomeno Mata" 39.8 61.69 5.64 5.19 21.81 82.18 4.53 18.97 80.65 67 "Filomeno Mata" "30067"
"2148" "068 Fortín" 5.44 18.89 0.76 0.8 4.51 34.13 6.24 33.07 44.86 68 "Fortín" "30068"
"2149" "069 Gutiérrez Zamora" 8.99 27.6 1.09 3.03 36.29 38.29 16.09 43.95 61.27 69 "Gutiérrez Zamora" "30069"
"2150" "070 Hidalgotitlán" 13.33 39.51 6.11 5.93 69.54 48.89 16.97 100 82.67 70 "Hidalgotitlán" "30070"
"2151" "071 Huatusco" 12.44 34.57 1.54 2.47 3.96 48.6 22.61 42.62 66.61 71 "Huatusco" "30071"
"2152" "072 Huayacocotla" 19.72 41.1 6.21 13.82 22.76 48.09 14.43 74.9 67.53 72 "Huayacocotla" "30072"
"2153" "073 Hueyapan de Ocampo" 22.17 42.59 3.52 3.37 14.04 38.13 34.2 85.38 72.07 73 "Hueyapan de Ocampo" "30073"
"2154" "074 Huiloapan de Cuauhtémoc" 7.87 21.74 1.57 1.39 2.17 45.1 8.47 100 48.67 74 "Huiloapan de Cuauhtémoc" "30074"
"2155" "075 Ignacio de la Llave" 21.22 43.72 7.94 3.18 57.91 35.62 12.71 100 70.23 75 "Ignacio de la Llave" "30075"
"2156" "076 Ilamatlán" 42.42 60.64 1.66 4.69 68.38 55.12 18.79 100 82.6 76 "Ilamatlán" "30076"
"2157" "077 Isla" 14.01 37.91 3.56 3.42 15.77 42.26 9.18 37.72 52.64 77 "Isla" "30077"
"2158" "078 Ixcatepec" 17.91 36.59 1.85 5.29 22.24 42.85 60.38 100 79.52 78 "Ixcatepec" "30078"
"2159" "079 Ixhuacán de los Reyes" 22.31 52.94 1.59 2.87 2.91 60.53 5.03 100 78.37 79 "Ixhuacán de los Reyes" "30079"
"2160" "080 Ixhuatlán del Café" 15.61 42.12 0.92 2.4 17.32 52.32 36.14 68.94 77.15 80 "Ixhuatlán del Café" "30080"
"2161" "081 Ixhuatlancillo" 15.87 31.7 1.24 4.9 15.46 42.26 19.94 61.32 53.77 81 "Ixhuatlancillo" "30081"
"2162" "082 Ixhuatlán del Sureste" 9.34 29.39 2.26 1.67 43.18 44.1 4.83 31.9 36.2 82 "Ixhuatlán del Sureste" "30082"
"2163" "083 Ixhuatlán de Madero" 24.68 44.45 1.84 4.06 46.13 45.41 47.23 100 83.38 83 "Ixhuatlán de Madero" "30083"
"2164" "084 Ixmatlahuacan" 21.27 42.88 7.22 3.79 38.68 32.68 5.67 100 63.34 84 "Ixmatlahuacan" "30084"
"2165" "085 Ixtaczoquitlán" 8.8 24.05 2.02 1.63 4.69 39.49 13.71 48.4 45.84 85 "Ixtaczoquitlán" "30085"
"2166" "086 Jalacingo" 17.42 43.35 2 2.41 6.73 63.72 22.4 67.34 80.31 86 "Jalacingo" "30086"
"2167" "087 Xalapa" 3.95 13.27 0.26 0.52 0.61 28.83 2.7 2.8 33.02 87 "Xalapa" "30087"
"2168" "088 Jalcomulco" 18 51.12 1.61 1.71 2.65 38.05 15.02 100 83.08 88 "Jalcomulco" "30088"
"2169" "089 Jáltipan" 9.25 25.05 2.05 2.93 45.95 38.47 5.1 17.38 51.67 89 "Jáltipan" "30089"
"2170" "090 Jamapa" 11.39 34.85 5.19 2.01 39.2 39.32 8.27 100 41.68 90 "Jamapa" "30090"
"2171" "091 Jesús Carranza" 15.35 40.8 4.78 3.74 46.05 44.57 14.19 100 60.22 91 "Jesús Carranza" "30091"
"2172" "092 Xico" 15.23 36.85 1.31 2.15 2.11 54.16 15.71 26.37 60.07 92 "Xico" "30092"
"2173" "093 Jilotepec" 9.83 28.32 1.08 1.6 6.73 46.47 4.73 100 53.79 93 "Jilotepec" "30093"
"2174" "094 Juan Rodríguez Clara" 16.41 41.16 5.18 2.44 8.94 37.82 7.83 60.67 62.96 94 "Juan Rodríguez Clara" "30094"
"2175" "095 Juchique de Ferrer" 22.14 46.92 5.59 3.21 7.4 44.03 24.36 100 80.47 95 "Juchique de Ferrer" "30095"
"2176" "096 Landero y Coss" 14.04 41.08 2.72 1.62 8.36 38 3.76 100 87.13 96 "Landero y Coss" "30096"
"2177" "097 Lerdo de Tejada" 9.86 26.13 1.33 1.64 6.09 26.82 2.27 7.08 44.04 97 "Lerdo de Tejada" "30097"
"2178" "098 Magdalena" 25 43.93 2.19 0.99 0.72 64.33 6.93 100 76.58 98 "Magdalena" "30098"
"2179" "099 Maltrata" 16.42 36.95 2.07 3.91 20.87 55.07 18.12 29.92 74.68 99 "Maltrata" "30099"
"2180" "100 Manlio Fabio Altamirano" 10.52 37.4 6.56 1.19 8.5 38.08 9.04 76.61 45.2 100 "Manlio Fabio Altamirano" "30100"
"2181" "101 Mariano Escobedo" 13.17 30.08 2.31 2.6 7.14 43.73 13.46 58 61.96 101 "Mariano Escobedo" "30101"
"2182" "102 Martínez de la Torre" 8.84 25.45 1.43 2.15 20.87 38.93 14.7 25.64 45.85 102 "Martínez de la Torre" "30102"
"2183" "103 Mecatlán" 35.52 57.78 3.63 13.57 42.06 64.44 19.38 56.12 75.11 103 "Mecatlán" "30103"
"2184" "104 Mecayapan" 27.07 50.39 27.44 4.76 13.68 55.49 12.55 64.99 82.43 104 "Mecayapan" "30104"
